Gas,Source,Label,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,Mobile Combustiona,Mobile Combustiona,5.6,5.5,5.5,5.4,5.3,5.2,5,4.8,4.6,4,3.7,3.5,3.2,3,2.9,2.8,2.7,2.5,2.4,2.3,2.3,2.3,2.2,2.1,2.1,2
,Field Burning of Agricultural Residues,Field Burning of Agricultural Residues,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
,Petrochemical Production,Petrochemical Production,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,+ ,0.1,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.2
,Ferroalloy Production,Ferroalloy Production,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Silicon Carbide Production and Consumption,Silicon Carbide Production and Consumption,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Iron and Steel Production & Metallurgical Coke Production,Iron and Steel Production & Metallurgical Coke Production,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Incineration of Waste,Incineration of Waste,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,International Bunker Fuelsc,International Bunker Fuelsc,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
N2O,,N2O,359.5,358.7,361.9,373.9,364.9,377,383.4,374.2,388.7,363,361.9,363.8,362.2,366,385.9,361.6,371.1,378.8,361.6,362.3,370.5,364,340.7,335.5,335.5,334.8
,Agricultural Soil Management,Agricultural Soil Management,256.6,254.1,255.7,263.9,251.5,258.2,262.8,259.1,277.5,254.4,252.8,261.2,258.9,263.7,286.6,259.8,269.3,277.1,272.2,276.4,280.3,270.1,254.1,250.5,250,251.3
,Stationary Combustion,Stationary Combustion,11.9,11.8,12,12.3,12.5,12.6,12.9,13,13,13.2,14,14.4,16,17.3,19,20.2,20.4,20.8,20.8,20.4,22.2,21.3,21.4,22.9,23.4,23.1
,Manure Management,Manure Management,14,14.2,14.2,14,14.8,15.1,15.1,15.3,15.5,16.1,16.5,16.4,16.7,16.9,16.2,16.5,17.3,17.4,17.2,17.1,17.2,17.4,17.5,17.5,17.5,17.7
,Mobile Combustiona,Mobile Combustiona,41.2,43.1,46.1,48.1,49.9,51.2,52.1,52.9,53.2,50.5,49.3,46,43.6,41,38.6,35.7,33.5,28.9,26.6,25,24.1,22.8,20.4,18.5,16.6,15.1
,Nitric Acid Production,Nitric Acid Production,12.1,12.1,12.4,12.6,13.3,13.5,14.1,14.4,14.2,13.7,13.3,10.8,11.7,11,10.9,11.3,11.1,13.2,11.3,9.6,11.5,10.9,10.5,10.7,10.9,11.6
,Wastewater Treatment,Wastewater Treatment,3.4,3.5,3.5,3.6,3.7,3.7,3.8,3.8,3.9,4.1,4.1,4.1,4.2,4.3,4.4,4.4,4.5,4.5,4.5,4.5,4.5,4.8,4.8,4.9,4.9,5
,Adipic Acid Production,Adipic Acid Production,15.2,14.9,13,13.9,13.5,16.9,16.7,9.4,5.1,4.7,5.3,4.5,4.9,5.5,3.7,7.1,8.6,10.3,2.5,2.7,4.2,10.2,5.5,3.9,5.4,4.3
,N2O from Product Uses,N2O from Product Uses,4.2,4.1,3.9,4.4,4.4,4.4,4.4,4.7,4.7,4.7,4.7,4.7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
,Composting,Composting,0.3,0.4,0.4,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.3,1.4,1.5,1.7,1.7,1.7,1.8,1.8,1.7,1.6,1.7,1.7,1.8,1.9,1.9
,Incineration of Waste,Incineration of Waste,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3
,Semiconductor Manufacture,Semiconductor Manufacture,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2
,Field Burning of Agricultural Residues,Field Burning of Agricultural Residues,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
