Q_SUBPART_LEVEL_INFORMATION.FACILITY_ID,Q_SUBPART_LEVEL_INFORMATION.REPORTING_YEAR,Q_SUBPART_LEVEL_INFORMATION.GHG_NAME,Q_SUBPART_LEVEL_INFORMATION.GHG_QUANTITY
1005190,2016,Carbon Dioxide,25603.4
1005283,2013,Nitrous Oxide,0
1005283,2014,Nitrous Oxide,0
1005003,2014,Carbon Dioxide,26109.3
1005283,2016,Carbon Dioxide,97372.2
1005163,2010,Biogenic Carbon dioxide,0
1004151,2012,Methane,.25
1004151,2012,Nitrous Oxide,.025
1004151,2013,Methane,.26
1004151,2016,Nitrous Oxide,.029
1004152,2010,Nitrous Oxide,0
1004152,2011,Methane,0
1004152,2015,Nitrous Oxide,0
1004411,2014,Biogenic Carbon dioxide,0
1004411,2016,Nitrous Oxide,0
1004411,2016,Carbon Dioxide,34273.7
1005276,2010,Nitrous Oxide,0
1005276,2010,Carbon Dioxide,179153.5
1005303,2011,Nitrous Oxide,0
1005344,2012,Carbon Dioxide,81154.3
1004729,2010,Nitrous Oxide,0
1005021,2014,Nitrous Oxide,0
1005021,2014,Carbon Dioxide,24806.1
1005021,2015,Carbon Dioxide,3578
1005276,2011,Biogenic Carbon dioxide,0
1004729,2013,Carbon Dioxide,29709
1005344,2016,Carbon Dioxide,62115.4
1004729,2015,Carbon Dioxide,26152.6
1005294,2016,Methane,0
1005298,2014,Methane,0
1005298,2016,Methane,0
1005584,2010,Nitrous Oxide,0
1005602,2011,Nitrous Oxide,0
1005584,2011,Methane,0
1005602,2013,Nitrous Oxide,0
1005752,2011,Nitrous Oxide,0
1005752,2012,Methane,0
1005584,2014,Biogenic Carbon dioxide,0
1005602,2015,Nitrous Oxide,0
1005602,2016,Nitrous Oxide,0
1005584,2015,Biogenic Carbon dioxide,0
1005584,2016,Biogenic Carbon dioxide,0
1005515,2014,Methane,0
1005598,2013,Biogenic Carbon dioxide,0
1005598,2013,Methane,0
1005598,2013,Nitrous Oxide,0
1005598,2016,Nitrous Oxide,0
1005832,2013,Nitrous Oxide,.02
1005832,2015,Nitrous Oxide,.016
1005832,2015,Carbon Dioxide,74489.4
1005832,2016,Nitrous Oxide,.018
1006159,2014,Nitrous Oxide,0
1005800,2010,Biogenic Carbon dioxide,0
1005800,2010,Nitrous Oxide,0
1006159,2016,Carbon Dioxide,399810
1005800,2011,Biogenic Carbon dioxide,0
1005800,2014,Nitrous Oxide,0
1005801,2013,Methane,0
1005801,2015,Methane,0
1005801,2015,Carbon Dioxide,17320.5
1006144,2012,Carbon Dioxide,48475.7
1006144,2013,Biogenic Carbon dioxide,0
1006144,2015,Methane,.05
1005976,2014,Biogenic Carbon dioxide,0
1005832,2010,Nitrous Oxide,.01
1005752,2013,Nitrous Oxide,0
1005752,2015,Carbon Dioxide,37168
1005752,2016,Biogenic Carbon dioxide,0
1005752,2016,Nitrous Oxide,0
1005700,2010,Nitrous Oxide,0
1005700,2014,Nitrous Oxide,0
1005700,2015,Nitrous Oxide,0
1005700,2015,Carbon Dioxide,165314.2
1005755,2015,Biogenic Carbon dioxide,0
1005755,2016,Carbon Dioxide,26920.9
1005700,2016,Carbon Dioxide,153774.5
1006269,2010,Biogenic Carbon dioxide,0
1006269,2011,Nitrous Oxide,0
1006269,2012,Methane,0
1006269,2016,Methane,0
1006325,2010,Methane,0
1006325,2015,Nitrous Oxide,0
1006875,2012,Nitrous Oxide,.001
1006875,2015,Methane,.02
1006875,2016,Biogenic Carbon dioxide,0
1006875,2016,Methane,.01
1006708,2011,Biogenic Carbon dioxide,0
1006708,2013,Carbon Dioxide,18839.8
1006530,2011,Carbon Dioxide,34701
1006972,2013,Carbon Dioxide,7611
1006972,2015,Biogenic Carbon dioxide,0
1006875,2010,Carbon Dioxide,1547
1006875,2011,Biogenic Carbon dioxide,0
1007287,2010,Nitrous Oxide,0
1007287,2010,Carbon Dioxide,755846
1007287,2012,Nitrous Oxide,0
1007287,2013,Nitrous Oxide,0
1007287,2014,Biogenic Carbon dioxide,0
1006901,2013,Nitrous Oxide,0
1006906,2012,Methane,0
1006906,2012,Carbon Dioxide,45045
1006906,2016,Methane,0
1007348,2015,Methane,0
1007392,2014,Carbon Dioxide,74286.5
1007392,2015,Methane,.52
1007392,2015,Nitrous Oxide,.109
1007392,2016,Carbon Dioxide,44126.3
1007642,2013,Methane,.48
1008263,2011,Methane,0
1007921,2014,Carbon Dioxide,257285.2
1007921,2016,Nitrous Oxide,0
1007866,2011,Nitrous Oxide,0
1007866,2012,Nitrous Oxide,0
1007866,2013,Biogenic Carbon dioxide,0
1007866,2014,Nitrous Oxide,0
1007866,2014,Carbon Dioxide,49128.7
1007866,2015,Methane,0
1007866,2016,Nitrous Oxide,0
1008735,2011,Methane,0
1008735,2014,Methane,0
1007620,2012,Biogenic Carbon dioxide,0
1007620,2015,Biogenic Carbon dioxide,0
1003507,2011,Biogenic Carbon dioxide,0
1003507,2012,Methane,0
1003507,2014,Methane,0
1003507,2014,Nitrous Oxide,0
1003507,2014,Carbon Dioxide,21389
1003507,2015,Nitrous Oxide,0
1003507,2015,Carbon Dioxide,14766.2
1003577,2013,Methane,0
1003688,2016,Biogenic Carbon dioxide,0
1003668,2010,Biogenic Carbon dioxide,0
1003668,2012,Carbon Dioxide,76633.4
1003668,2013,Biogenic Carbon dioxide,0
1003668,2014,Nitrous Oxide,0
1003668,2015,Methane,0
1003668,2016,Biogenic Carbon dioxide,0
1003669,2011,Nitrous Oxide,0
1003669,2014,Methane,0
1003669,2016,Methane,0
1003799,2011,Methane,0
1003799,2012,Methane,0
1003860,2013,Biogenic Carbon dioxide,0
1003860,2015,Carbon Dioxide,58190.5
1003965,2011,Methane,0
1003965,2011,Carbon Dioxide,28143
1003965,2012,Biogenic Carbon dioxide,0
1003965,2012,Nitrous Oxide,0
1003965,2013,Nitrous Oxide,0
1007695,2010,Methane,.22
1007695,2010,Carbon Dioxide,129341.2
1007695,2011,Biogenic Carbon dioxide,0
1007946,2013,Carbon Dioxide,107359.4
1007946,2015,Biogenic Carbon dioxide,0
1007695,2015,Methane,.27
1007695,2015,Carbon Dioxide,87323.9
1007695,2016,Biogenic Carbon dioxide,0
1007577,2010,Carbon Dioxide,25150.6
