Gas,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CO2,Petrochemical Production,21.3,22.7,23.3,24.3,26.2,27.6,28.7,30.1,30.4,31.9,31.1,27.2,28.3,28,30.2,27,27.2,27.6,24.4,23.4,27.3,26.3,26.5,26.4,26.5,28.1
CO2,Lime Production,11.7,11.5,11.9,12.3,12.7,13.5,14.2,14.5,14.8,14.4,14.3,13.7,13.2,13.9,14.6,14.6,15.2,14.7,14.5,11.4,13.4,14,13.8,14,14.2,13.3
CO2,Other Process Uses of Carbonates,4.9,4.3,4.3,3.9,4.3,6.2,6.8,6.4,6.7,7.6,4.7,4.7,5.1,3.7,5.6,6.3,7.3,7.4,5.9,7.6,9.6,9.3,8,10.4,11.8,11.2
CO2,Ammonia Production,13,13.3,13.7,13.2,14.2,13.5,13.8,14,14.1,12.9,12.2,9.2,10.5,8.8,9.6,9.2,8.8,9.1,8.4,8.5,9.2,9.3,9.4,10,9.6,10.8
CO2,Incineration of Waste,8,8,9.5,9.8,10.8,11.3,11.9,11.8,10.8,11,11.1,11.4,11.8,12.1,12.4,12.5,12.5,12.7,11.9,11.3,11,10.6,10.4,10.4,10.6,10.7
CO2,Urea Fertilization,2.4,2.3,2.4,2.6,2.7,2.7,2.6,2.7,2.9,3,3.2,3.4,3.6,3.7,3.7,3.5,3.7,3.8,3.6,3.6,3.8,4.1,4.3,4.5,4.8,5
CO2,Carbon Dioxide Consumption,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.9,1,1.4,1.3,1.4,1.8,1.9,1.8,1.8,4.4,4.1,4,4.2,4.5,4.3
CO2,Liming,4.7,5,4.4,3.8,4.1,4.4,4.4,4.3,4.7,4.5,4.3,4.4,5,4.6,3.9,4.3,4.2,4.5,5,3.7,4.8,3.9,6,3.9,3.6,3.8
CO2,Petroleum Systems,3.6,3.5,3.6,3.6,3.6,3.7,3.7,3.8,3.9,3.8,3.9,3.9,3.9,4,4,3.9,3.9,3.9,3.8,3.7,4.2,4.2,3.9,3.7,3.6,3.6
CO2,Soda Ash Production and Consumption,2.8,2.8,2.8,2.7,2.7,3,3,3.1,3,2.9,2.9,2.9,2.8,2.8,2.9,3,2.9,2.9,3,2.6,2.7,2.7,2.8,2.8,2.8,2.8
CO2,Aluminum Production,6.8,6.9,6.8,6.2,5.5,5.7,6,6,6.2,6.3,6.1,4.4,4.5,4.5,4.2,4.1,3.8,4.3,4.5,3,2.7,3.3,3.4,3.3,2.8,2.8
CO2,Ferroalloy Production,2.2,1.9,2,1.9,2,2,2.1,2.2,2.2,2.2,1.9,1.5,1.3,1.3,1.4,1.4,1.5,1.6,1.6,1.5,1.7,1.7,1.9,1.8,1.9,2
CO2,Titanium Dioxide Production,1.2,1.2,1.4,1.4,1.5,1.5,1.5,1.7,1.7,1.7,1.8,1.7,1.8,1.8,2.1,1.8,1.8,1.9,1.8,1.6,1.8,1.7,1.5,1.7,1.7,1.6
CO2,Glass Production,1.5,1.4,1.5,1.6,1.7,1.8,1.7,1.6,1.5,1.4,1.7,1.4,1.7,1.6,1.6,1.9,2.1,1.5,1.5,1,1.5,1.3,1.2,1.3,1.3,1.3
CO2,Urea Consumption for Non-Agricultural Purposes,3.8,3.5,3.9,4.6,4.3,4.3,3.9,3.9,4.8,4.7,4.2,4.1,3.7,3.6,3.7,3.7,3.5,4.9,4.1,3.4,4.7,4,4.4,4,1.4,1.1
CO2,Phosphoric Acid Production,1.5,1.4,1.5,1.3,1.5,1.5,1.6,1.5,1.6,1.5,1.4,1.3,1.3,1.4,1.4,1.3,1.2,1.2,1.1,1,1.1,1.2,1.1,1.1,1,1
CO2,Zinc Production,0.6,0.8,0.8,0.9,0.9,0.9,0.9,1,0.9,0.9,0.9,0.7,0.7,1.1,1,1,1,1,1.2,0.9,1.2,1.3,1.5,1.4,1,0.9
CO2,Lead Production,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
CO2,Silicon Carbide Production and Consumption,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2
CO2,Magnesium Production and Processing, , , , , , , , , , , , , , , , , , , , , , , , , , 
CO2,"Wood Biomass, Ethanol, and Biodiesel Consumptionb",219.4,220.2,230.6,225.8,232.3,236.9,241.3,235.6,218.2,221.5,227.4,203.4,204.7,209.9,225.4,230.7,236.3,244.6,257.5,253.5,267.6,276.4,276.2,299.8,307.1,291.7
CO2,International Bunker Fuelsc,103.5,117.6,107.9,97.8,96.7,98.5,99.7,107,110.5,102.7,101.7,93.7,94.4,98.3,108.4,113.1,114.1,115.3,114.3,106.4,117,111.7,105.8,99.8,103.2,110.8
CH4,Enteric Fermentation,164.2,164.4,169.2,171.6,174.7,178.7,177.5,174.1,172.3,172.4,170.6,169.6,169.8,170,166.8,168.9,171.6,174.5,173.8,173,171.3,168.9,166.7,165.5,164.2,166.5
CH4,Natural Gas Systems,194.1,196.5,195.3,192.8,192.3,184.9,181.8,179.2,174.5,172.9,169.7,169.8,163.4,162.3,160.2,159.7,162.2,159.8,162.7,156.1,152.3,154.5,156.2,159.2,162.5,162.4
CH4,Landfills,179.6,181.7,181.4,179.2,179,174.2,170.6,161.1,151.4,144.7,141.4,136.8,134.9,137.4,134.9,134.3,132.3,130.3,128.4,126.5,127.6,119,120.8,116.7,116.6,115.7
CH4,Manure Management,37.2,38.9,37.5,39.2,42,43.3,42.6,44.7,48.7,49.3,50,52.2,53.5,54.4,53.1,56.3,57,62,61.4,60.4,62.1,63,65.6,63.3,62.9,66.3
CH4,Coal Mining,96.5,93.2,90.7,77.3,77.6,76.4,76,75.4,75.7,71.2,68.3,68,63.8,64,65.3,64.1,65.6,64.8,75.6,79.9,82.3,71.2,66.5,64.6,64.8,60.9
CH4,Petroleum Systems,55.5,55.5,53.8,52.6,51.7,50.9,50.5,50.4,49,47.3,47.3,47.1,46.5,46.3,46,46,46.3,46.2,47,46.2,47,48,46.4,44.5,43,39.9
CH4,Wastewater Treatment,15.7,15.9,16.2,16.2,16.4,16.4,16.4,16.5,16.5,16.6,16.6,16.3,16.3,16.1,15.9,16,16,16,16,15.7,15.5,15.3,15.1,14.9,14.8,14.8
CH4,Rice Cultivation,16,16.8,16.9,16.9,14.8,15.8,16,15.8,16.1,18.1,18.3,15.6,16.5,14.3,14.1,16.7,12.9,13.9,11.5,14.5,15.9,14.1,11.3,11.3,11.4,11.2
CH4,Stationary Combustion,8.5,8.7,9,8.4,8.2,8.2,8.5,7.7,7,7.2,7.5,7,7,7.2,7.4,7.4,6.9,7.2,7.4,7.4,7.1,7.1,6.6,8,8.1,7
CH4,Abandoned Underground Coal Mines,7.2,7.3,7.9,8.2,9.7,9.8,10.1,9,8.2,8.3,8.8,8,7.3,7.2,6.9,6.6,6.5,6.3,6.3,6.4,6.6,6.4,6.2,6.2,6.3,6.4
CH4,Composting,0.4,0.4,0.5,0.6,0.8,0.9,1,1.1,1.2,1.3,1.5,1.5,1.5,1.7,1.9,1.9,1.9,2,2,1.9,1.8,1.9,1.9,2,2.1,2.1
CH4,Mobile Combustiona,5.6,5.5,5.5,5.4,5.3,5.2,5,4.8,4.6,4,3.7,3.5,3.2,3,2.9,2.8,2.7,2.5,2.4,2.3,2.3,2.3,2.2,2.1,2.1,2
CH4,Field Burning of Agricultural Residues,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
CH4,Petrochemical Production,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1, ,0.1, , , , ,0.1,0.1,0.1,0.2
CH4,Ferroalloy Production, , , , , , , , , , , , , , , , , , , , , , , , , , 
CH4,Silicon Carbide Production and Consumption, , , , , , , , , , , , , , , , , , , , , , , , , , 
CH4,Iron and Steel Production & Metallurgical Coke Production, , , , , , , , , , , , , , , , , , , , , , , , , , 
CH4,Incineration of Waste, , , , , , , , , , , , , , , , , , , , , , , , , , 
CH4,International Bunker Fuelsc,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
N2O,Agricultural Soil Management,256.6,254.1,255.7,263.9,251.5,258.2,262.8,259.1,277.5,254.4,252.8,261.2,258.9,263.7,286.6,259.8,269.3,277.1,272.2,276.4,280.3,270.1,254.1,250.5,250,251.3
N2O,Stationary Combustion,11.9,11.8,12,12.3,12.5,12.6,12.9,13,13,13.2,14,14.4,16,17.3,19,20.2,20.4,20.8,20.8,20.4,22.2,21.3,21.4,22.9,23.4,23.1
N2O,Manure Management,14,14.2,14.2,14,14.8,15.1,15.1,15.3,15.5,16.1,16.5,16.4,16.7,16.9,16.2,16.5,17.3,17.4,17.2,17.1,17.2,17.4,17.5,17.5,17.5,17.7
N2O,Mobile Combustiona,41.2,43.1,46.1,48.1,49.9,51.2,52.1,52.9,53.2,50.5,49.3,46,43.6,41,38.6,35.7,33.5,28.9,26.6,25,24.1,22.8,20.4,18.5,16.6,15.1
N2O,Nitric Acid Production,12.1,12.1,12.4,12.6,13.3,13.5,14.1,14.4,14.2,13.7,13.3,10.8,11.7,11,10.9,11.3,11.1,13.2,11.3,9.6,11.5,10.9,10.5,10.7,10.9,11.6
N2O,Wastewater Treatment,3.4,3.5,3.5,3.6,3.7,3.7,3.8,3.8,3.9,4.1,4.1,4.1,4.2,4.3,4.4,4.4,4.5,4.5,4.5,4.5,4.5,4.8,4.8,4.9,4.9,5
N2O,Adipic Acid Production,15.2,14.9,13,13.9,13.5,16.9,16.7,9.4,5.1,4.7,5.3,4.5,4.9,5.5,3.7,7.1,8.6,10.3,2.5,2.7,4.2,10.2,5.5,3.9,5.4,4.3
N2O,N2O from Product Uses,4.2,4.1,3.9,4.4,4.4,4.4,4.4,4.7,4.7,4.7,4.7,4.7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
N2O,Composting,0.3,0.4,0.4,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.3,1.4,1.5,1.7,1.7,1.7,1.8,1.8,1.7,1.6,1.7,1.7,1.8,1.9,1.9
N2O,Incineration of Waste,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3
N2O,Semiconductor Manufacture, , , , , ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2
N2O,Field Burning of Agricultural Residues,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
N2O,International Bunker Fuelsc,0.9,1,0.9,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,1,1,1,1,0.9,1,1,0.9,0.9,0.9,0.9
HFCs,Substitution of Ozone Depleting Substancesd,0.3,0.6,1.8,5.9,13.6,30.9,42.9,54.5,61.7,69.9,77.2,83.7,88.6,92.1,95.7,99.7,106.6,114.3,123.1,132.5,141.2,145.3,150.2,154.6,161.3,168.5
HFCs,HCFC-22 Production,46.1,41.4,46,41.9,39.9,41.7,39.4,38.1,49.9,38.5,36.2,25,26.7,15.6,21.8,20,17.5,21.5,17.2,6.8,8,8.8,5.5,4.1,5,4.3
HFCs,Semiconductor Manufacture,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3
HFCs,Magnesium Production and Processing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , ,0.1,0.1,0.1
PFCs,Semiconductor Manufacture,2.8,2.8,2.8,3.5,3.9,4.9,5.4,5.7,7,7.1,6,4.2,4.1,3.8,3.5,3.2,3.4,3.3,3,2.1,2.7,3.4,3,2.8,3.2,3.2
PFCs,Aluminum Production,21.5,18.1,16.7,16,14.1,13.8,14.5,12.6,10,9.8,9.9,4,6.1,4.4,3.3,3.4,2.9,4.5,3.2,1.9,1.9,3.5,2.9,3,2.5,2
PFCs,Substitution of Ozone Depleting Substances,0,0,0,0, , , , , , , , , , , ,, , , , , ,,,,,
SF6,Electrical Transmission and Distribution,23.1,22.1,22.1,21.4,20.2,18.6,17,15.6,13.3,13.6,12.7,12,10.9,9.9,9.1,8.3,6.9,6.2,6.1,6,5.9,6,4.8,4.6,4.8,4.2
SF6,Magnesium Production and Processing,5.2,4.9,5.2,5.3,5.2,5.4,6.3,6,5.4,4.8,2.9,2.7,2.8,3.3,2.7,2.7,2.8,2.5,1.8,1.6,2.1,2.8,1.6,1.5,1,0.9
SF6,Semiconductor Manufacture,0.5,0.5,0.5,0.6,0.7,0.9,1,1,1.2,1.3,1,0.7,0.6,0.7,0.7,0.7,0.7,0.5,0.4,0.3,0.4,0.4,0.4,0.4,0.7,0.7
NF3,Semiconductor Manufacture, , , ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.6,0.5,0.5,0.5,0.7,0.6,0.6,0.5,0.5,0.7,0.6,0.6,0.5,0.6
